Date,Month,Year,Category,Region,Revenue_USDk,Orders,Customers
2024-01-01,1,2024,Electronics,North America,257.6,649,441
2024-01-01,1,2024,Electronics,Europe,166.0,469,292
2024-01-01,1,2024,Electronics,Asia Pacific,118.0,331,184
2024-01-01,1,2024,Electronics,Latin America,53.3,130,73
2024-01-01,1,2024,Home & Kitchen,North America,182.8,559,321
2024-01-01,1,2024,Home & Kitchen,Europe,120.0,348,257
2024-01-01,1,2024,Home & Kitchen,Asia Pacific,95.7,260,193
2024-01-01,1,2024,Home & Kitchen,Latin America,32.3,99,60
2024-01-01,1,2024,Books,North America,72.1,179,109
2024-01-01,1,2024,Books,Europe,61.9,157,104
2024-01-01,1,2024,Books,Asia Pacific,42.1,113,74
2024-01-01,1,2024,Books,Latin America,14.0,34,20
2024-01-01,1,2024,Sports,North America,125.4,343,210
2024-01-01,1,2024,Sports,Europe,85.4,235,143
2024-01-01,1,2024,Sports,Asia Pacific,64.8,191,114
2024-01-01,1,2024,Sports,Latin America,24.3,68,49
2024-01-01,1,2024,Beauty,North America,99.9,262,195
2024-01-01,1,2024,Beauty,Europe,58.0,158,110
2024-01-01,1,2024,Beauty,Asia Pacific,41.9,116,64
2024-01-01,1,2024,Beauty,Latin America,19.6,59,39
2024-01-01,1,2024,Toys,North America,75.7,200,137
2024-01-01,1,2024,Toys,Europe,48.9,140,89
2024-01-01,1,2024,Toys,Asia Pacific,37.5,118,76
2024-01-01,1,2024,Toys,Latin America,14.3,35,24
2024-02-01,2,2024,Electronics,North America,274.0,875,625
2024-02-01,2,2024,Electronics,Europe,171.8,465,317
2024-02-01,2,2024,Electronics,Asia Pacific,112.4,311,181
2024-02-01,2,2024,Electronics,Latin America,46.5,113,79
2024-02-01,2,2024,Home & Kitchen,North America,160.3,416,261
2024-02-01,2,2024,Home & Kitchen,Europe,140.4,346,221
2024-02-01,2,2024,Home & Kitchen,Asia Pacific,91.5,284,202
2024-02-01,2,2024,Home & Kitchen,Latin America,40.0,104,65
2024-02-01,2,2024,Books,North America,74.6,231,171
2024-02-01,2,2024,Books,Europe,48.8,123,73
2024-02-01,2,2024,Books,Asia Pacific,35.8,99,66
2024-02-01,2,2024,Books,Latin America,14.5,34,21
2024-02-01,2,2024,Sports,North America,110.3,314,232
2024-02-01,2,2024,Sports,Europe,85.0,239,160
2024-02-01,2,2024,Sports,Asia Pacific,60.4,147,107
2024-02-01,2,2024,Sports,Latin America,24.9,77,54
2024-02-01,2,2024,Beauty,North America,87.3,237,135
2024-02-01,2,2024,Beauty,Europe,65.7,160,90
2024-02-01,2,2024,Beauty,Asia Pacific,41.2,104,64
2024-02-01,2,2024,Beauty,Latin America,15.6,37,21
2024-02-01,2,2024,Toys,North America,57.8,155,86
2024-02-01,2,2024,Toys,Europe,51.1,147,85
2024-02-01,2,2024,Toys,Asia Pacific,30.4,81,50
2024-02-01,2,2024,Toys,Latin America,11.6,35,26
2024-03-01,3,2024,Electronics,North America,300.9,838,475
2024-03-01,3,2024,Electronics,Europe,187.4,501,302
2024-03-01,3,2024,Electronics,Asia Pacific,167.0,422,234
2024-03-01,3,2024,Electronics,Latin America,69.0,194,112
2024-03-01,3,2024,Home & Kitchen,North America,211.7,512,335
