Year,Month,Date,Source,Production_GWh,Quarter
2018,1,2018-01-01,Wind,1574.4,Q1
2018,1,2018-01-01,Solar,29.6,Q1
2018,1,2018-01-01,Biomass,532.1,Q1
2018,1,2018-01-01,Natural Gas,273.3,Q1
2018,1,2018-01-01,Coal,398.5,Q1
2018,1,2018-01-01,Net Imports,257.1,Q1
2018,2,2018-02-01,Wind,1636.6,Q1
2018,2,2018-02-01,Solar,74.7,Q1
2018,2,2018-02-01,Biomass,545.1,Q1
2018,2,2018-02-01,Natural Gas,264.5,Q1
2018,2,2018-02-01,Coal,366.7,Q1
2018,2,2018-02-01,Net Imports,250.2,Q1
2018,3,2018-03-01,Wind,1016.7,Q1
2018,3,2018-03-01,Solar,76.1,Q1
2018,3,2018-03-01,Biomass,466.9,Q1
2018,3,2018-03-01,Natural Gas,188.3,Q1
2018,3,2018-03-01,Coal,275.1,Q1
2018,3,2018-03-01,Net Imports,253.6,Q1
2018,4,2018-04-01,Wind,1154.5,Q2
2018,4,2018-04-01,Solar,73.7,Q2
2018,4,2018-04-01,Biomass,478.3,Q2
2018,4,2018-04-01,Natural Gas,192.9,Q2
2018,4,2018-04-01,Coal,280.6,Q2
2018,4,2018-04-01,Net Imports,236.2,Q2
2018,5,2018-05-01,Wind,1180.5,Q2
2018,5,2018-05-01,Solar,132.4,Q2
2018,5,2018-05-01,Biomass,426.3,Q2
2018,5,2018-05-01,Natural Gas,174.9,Q2
2018,5,2018-05-01,Coal,304.0,Q2
2018,5,2018-05-01,Net Imports,254.1,Q2
2018,6,2018-06-01,Wind,807.8,Q2
2018,6,2018-06-01,Solar,141.0,Q2
2018,6,2018-06-01,Biomass,458.6,Q2
2018,6,2018-06-01,Natural Gas,201.2,Q2
2018,6,2018-06-01,Coal,282.4,Q2
2018,6,2018-06-01,Net Imports,252.1,Q2
2018,7,2018-07-01,Wind,810.6,Q3
2018,7,2018-07-01,Solar,138.6,Q3
2018,7,2018-07-01,Biomass,482.4,Q3
2018,7,2018-07-01,Natural Gas,189.3,Q3
2018,7,2018-07-01,Coal,297.4,Q3
2018,7,2018-07-01,Net Imports,231.8,Q3
2018,8,2018-08-01,Wind,736.5,Q3
2018,8,2018-08-01,Solar,77.3,Q3
2018,8,2018-08-01,Biomass,425.3,Q3
2018,8,2018-08-01,Natural Gas,179.0,Q3
2018,8,2018-08-01,Coal,269.6,Q3
2018,8,2018-08-01,Net Imports,241.1,Q3
2018,9,2018-09-01,Wind,1123.9,Q3
2018,9,2018-09-01,Solar,78.3,Q3
2018,9,2018-09-01,Biomass,446.5,Q3
2018,9,2018-09-01,Natural Gas,178.3,Q3
2018,9,2018-09-01,Coal,277.3,Q3
2018,9,2018-09-01,Net Imports,267.5,Q3
2018,10,2018-10-01,Wind,1126.1,Q4
2018,10,2018-10-01,Solar,81.4,Q4
2018,10,2018-10-01,Biomass,432.0,Q4
2018,10,2018-10-01,Natural Gas,193.9,Q4
2018,10,2018-10-01,Coal,272.5,Q4
2018,10,2018-10-01,Net Imports,245.2,Q4
2018,11,2018-11-01,Wind,1660.6,Q4
2018,11,2018-11-01,Solar,32.7,Q4
2018,11,2018-11-01,Biomass,557.0,Q4
2018,11,2018-11-01,Natural Gas,192.5,Q4
2018,11,2018-11-01,Coal,303.8,Q4
2018,11,2018-11-01,Net Imports,261.0,Q4
2018,12,2018-12-01,Wind,1473.2,Q4
2018,12,2018-12-01,Solar,29.6,Q4
2018,12,2018-12-01,Biomass,535.7,Q4
2018,12,2018-12-01,Natural Gas,275.4,Q4
2018,12,2018-12-01,Coal,366.2,Q4
2018,12,2018-12-01,Net Imports,267.7,Q4
2019,1,2019-01-01,Wind,1714.4,Q1
2019,1,2019-01-01,Solar,36.6,Q1
2019,1,2019-01-01,Biomass,577.0,Q1
2019,1,2019-01-01,Natural Gas,264.4,Q1
2019,1,2019-01-01,Coal,348.0,Q1
2019,1,2019-01-01,Net Imports,245.9,Q1
2019,2,2019-02-01,Wind,1556.2,Q1
2019,2,2019-02-01,Solar,90.6,Q1
2019,2,2019-02-01,Biomass,568.6,Q1
2019,2,2019-02-01,Natural Gas,258.6,Q1
2019,2,2019-02-01,Coal,330.8,Q1
2019,2,2019-02-01,Net Imports,263.3,Q1
2019,3,2019-03-01,Wind,1136.4,Q1
2019,3,2019-03-01,Solar,90.2,Q1
2019,3,2019-03-01,Biomass,502.1,Q1
2019,3,2019-03-01,Natural Gas,176.0,Q1
2019,3,2019-03-01,Coal,228.8,Q1
2019,3,2019-03-01,Net Imports,229.6,Q1
2019,4,2019-04-01,Wind,1082.9,Q2
2019,4,2019-04-01,Solar,96.3,Q2
2019,4,2019-04-01,Biomass,486.9,Q2
2019,4,2019-04-01,Natural Gas,173.6,Q2
2019,4,2019-04-01,Coal,227.7,Q2
2019,4,2019-04-01,Net Imports,242.8,Q2
2019,5,2019-05-01,Wind,1246.7,Q2
2019,5,2019-05-01,Solar,161.2,Q2
2019,5,2019-05-01,Biomass,500.2,Q2
2019,5,2019-05-01,Natural Gas,185.9,Q2
2019,5,2019-05-01,Coal,225.7,Q2
2019,5,2019-05-01,Net Imports,256.2,Q2
2019,6,2019-06-01,Wind,832.0,Q2
2019,6,2019-06-01,Solar,161.4,Q2
2019,6,2019-06-01,Biomass,447.8,Q2
2019,6,2019-06-01,Natural Gas,179.7,Q2
2019,6,2019-06-01,Coal,229.6,Q2
2019,6,2019-06-01,Net Imports,244.9,Q2
2019,7,2019-07-01,Wind,802.5,Q3
2019,7,2019-07-01,Solar,172.1,Q3
2019,7,2019-07-01,Biomass,493.1,Q3
2019,7,2019-07-01,Natural Gas,169.1,Q3
2019,7,2019-07-01,Coal,244.8,Q3
2019,7,2019-07-01,Net Imports,234.8,Q3
2019,8,2019-08-01,Wind,861.9,Q3
2019,8,2019-08-01,Solar,100.0,Q3
2019,8,2019-08-01,Biomass,450.1,Q3
2019,8,2019-08-01,Natural Gas,179.7,Q3
2019,8,2019-08-01,Coal,249.1,Q3
2019,8,2019-08-01,Net Imports,233.8,Q3
2019,9,2019-09-01,Wind,1203.5,Q3
2019,9,2019-09-01,Solar,95.0,Q3
2019,9,2019-09-01,Biomass,485.9,Q3
2019,9,2019-09-01,Natural Gas,176.6,Q3
2019,9,2019-09-01,Coal,225.2,Q3
2019,9,2019-09-01,Net Imports,240.5,Q3
2019,10,2019-10-01,Wind,1066.2,Q4
2019,10,2019-10-01,Solar,100.9,Q4
2019,10,2019-10-01,Biomass,493.3,Q4
2019,10,2019-10-01,Natural Gas,185.1,Q4
2019,10,2019-10-01,Coal,237.3,Q4
2019,10,2019-10-01,Net Imports,230.0,Q4
2019,11,2019-11-01,Wind,1714.8,Q4
2019,11,2019-11-01,Solar,40.5,Q4
2019,11,2019-11-01,Biomass,525.7,Q4
2019,11,2019-11-01,Natural Gas,175.4,Q4
2019,11,2019-11-01,Coal,227.9,Q4
2019,11,2019-11-01,Net Imports,257.8,Q4
