EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,WorkLifeBalance,YearsAtCompany,TotalWorkingYears
1,31,Yes,Travel_Frequently,Research & Development,6,2,Human Resources,Male,Laboratory Technician,1,Single,9138,Yes,3,0,1
2,35,Yes,Travel_Rarely,Research & Development,2,4,Technical Degree,Male,Research Director,1,Divorced,17000,No,3,0,7
3,24,No,Non-Travel,Research & Development,19,3,Human Resources,Male,Laboratory Technician,3,Single,2635,No,3,9,10
4,23,Yes,Travel_Rarely,Research & Development,2,3,Marketing,Female,Laboratory Technician,3,Married,2915,No,1,9,18
5,23,Yes,Travel_Frequently,Sales,10,3,Marketing,Female,Manager,2,Divorced,12000,Yes,3,6,20
6,38,No,Travel_Rarely,Research & Development,11,1,Technical Degree,Female,Manufacturing Director,3,Single,7335,No,2,2,5
7,34,No,Non-Travel,Sales,2,4,Human Resources,Male,Sales Representative,2,Married,13293,Yes,2,2,15
8,28,No,Non-Travel,Research & Development,8,2,Human Resources,Male,Laboratory Technician,4,Married,5920,No,3,2,12
9,41,Yes,Non-Travel,Research & Development,1,3,Technical Degree,Female,Research Director,2,Divorced,17000,No,2,0,12
10,35,No,Travel_Rarely,Sales,1,4,Human Resources,Male,Sales Representative,4,Married,7140,No,3,3,11
11,25,No,Travel_Rarely,Research & Development,19,4,Technical Degree,Female,Research Scientist,4,Divorced,3466,No,3,14,19
12,42,No,Non-Travel,Research & Development,11,5,Marketing,Female,Research Director,3,Married,17000,No,3,11,21
13,26,No,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,Laboratory Technician,3,Single,3592,No,3,39,47
14,32,No,Travel_Rarely,Sales,1,3,Human Resources,Female,Sales Executive,3,Divorced,7012,No,3,38,38
15,45,No,Travel_Frequently,Research & Development,2,4,Marketing,Female,Healthcare Representative,4,Single,1173,Yes,2,0,12
16,57,Yes,Non-Travel,Research & Development,11,2,Human Resources,Female,Manager,4,Single,12000,Yes,3,1,1
17,28,No,Travel_Frequently,Sales,13,4,Marketing,Male,Sales Executive,4,Single,7305,No,3,2,15
18,33,No,Travel_Frequently,Research & Development,7,4,Human Resources,Female,Manager,2,Divorced,12000,No,3,0,4
19,44,No,Non-Travel,Research & Development,25,3,Marketing,Male,Research Scientist,4,Divorced,2556,No,1,0,3
20,33,No,Travel_Rarely,Sales,5,3,Medical,Female,Manager,4,Married,12000,Yes,3,8,16
21,27,No,Non-Travel,Research & Development,5,3,Marketing,Male,Research Director,2,Married,17000,Yes,2,12,16
22,59,Yes,Travel_Frequently,Research & Development,10,2,Technical Degree,Male,Laboratory Technician,2,Married,4102,No,2,39,51
23,30,Yes,Travel_Rarely,Research & Development,3,3,Life Sciences,Female,Research Scientist,2,Divorced,8583,No,1,0,7
24,31,No,Non-Travel,Research & Development,8,4,Life Sciences,Female,Manufacturing Director,3,Divorced,6125,No,1,2,7
25,28,Yes,Non-Travel,Research & Development,1,3,Marketing,Male,Research Scientist,1,Single,9682,Yes,3,40,53
26,36,No,Travel_Frequently,Sales,1,3,Human Resources,Male,Sales Representative,2,Single,4920,Yes,1,7,15
27,49,No,Travel_Frequently,Research & Development,4,4,Other,Male,Laboratory Technician,3,Divorced,2987,No,3,3,18
28,59,No,Travel_Rarely,Research & Development,4,4,Life Sciences,Male,Healthcare Representative,3,Divorced,3817,No,1,0,8
29,22,No,Non-Travel,Sales,3,2,Technical Degree,Male,Sales Representative,3,Married,18225,No,2,0,11
30,28,No,Non-Travel,Research & Development,3,3,Life Sciences,Male,Healthcare Representative,1,Divorced,3629,No,3,0,2
31,36,No,Travel_Frequently,Research & Development,6,4,Other,Female,Laboratory Technician,1,Divorced,5168,No,3,38,42
32,39,No,Travel_Rarely,Sales,23,4,Human Resources,Male,Manager,1,Divorced,12605,No,1,12,19
33,35,Yes,Non-Travel,Sales,11,3,Life Sciences,Male,Sales Executive,3,Married,6442,Yes,3,3,5
34,27,Yes,Travel_Rarely,Sales,1,3,Technical Degree,Female,Sales Executive,4,Divorced,1179,No,3,0,9
35,35,No,Travel_Frequently,Research & Development,5,1,Life Sciences,Male,Manufacturing Director,2,Single,4100,No,3,4,7
36,49,Yes,Travel_Frequently,Research & Development,1,3,Life Sciences,Male,Research Scientist,2,Divorced,1550,No,4,14,28
37,25,Yes,Non-Travel,Sales,5,4,Other,Female,Sales Representative,1,Married,10656,No,1,2,17
38,25,Yes,Non-Travel,Research & Development,11,1,Marketing,Female,Manufacturing Director,4,Married,3387,Yes,2,15,18
39,23,Yes,Travel_Rarely,Research & Development,6,4,Life Sciences,Female,Manager,4,Married,12000,Yes,2,2,3
40,31,Yes,Travel_Frequently,Research & Development,3,4,Life Sciences,Male,Research Director,3,Single,17000,No,3,29,42
41,29,Yes,Travel_Frequently,Sales,8,3,Other,Female,Sales Representative,3,Married,3737,Yes,3,36,44
42,46,No,Non-Travel,Research & Development,4,3,Human Resources,Female,Healthcare Representative,2,Single,8346,No,3,1,3
43,30,No,Travel_Rarely,Research & Development,15,3,Marketing,Male,Healthcare Representative,1,Single,4471,No,3,10,25
44,32,Yes,Travel_Rarely,Research & Development,7,4,Life Sciences,Female,Research Director,4,Divorced,18114,No,3,1,14
45,28,Yes,Non-Travel,Research & Development,6,3,Medical,Male,Healthcare Representative,3,Single,13216,No,3,4,7
46,36,No,Travel_Rarely,Research & Development,6,5,Other,Female,Research Scientist,3,Married,3913,Yes,2,1,14
47,18,Yes,Travel_Rarely,Sales,3,5,Marketing,Female,Manager,2,Divorced,12000,No,4,33,40
48,28,No,Travel_Frequently,Research & Development,1,5,Medical,Female,Research Scientist,4,Single,7008,No,3,4,14
49,29,Yes,Travel_Frequently,Sales,18,3,Medical,Male,Sales Executive,3,Single,11371,No,3,2,11
50,27,Yes,Non-Travel,Research & Development,1,3,Other,Male,Research Scientist,3,Married,10479,No,3,0,12
51,49,No,Travel_Frequently,Sales,5,1,Other,Female,Manager,1,Single,12000,Yes,1,9,20
52,41,No,Travel_Frequently,Research & Development,11,2,Other,Female,Manufacturing Director,3,Married,6041,No,3,4,15
53,39,No,Travel_Rarely,Sales,23,3,Technical Degree,Male,Manager,4,Divorced,12000,Yes,3,0,1
54,48,No,Travel_Rarely,Research & Development,22,1,Human Resources,Female,Manufacturing Director,1,Married,13956,No,2,26,28
55,25,No,Non-Travel,Research & Development,1,2,Other,Female,Healthcare Representative,2,Single,3365,No,3,2,6
56,21,No,Travel_Rarely,Research & Development,6,2,Technical Degree,Female,Research Director,2,Single,17000,Yes,2,20,22
57,32,Yes,Non-Travel,Sales,3,4,Other,Male,Sales Representative,2,Married,4918,Yes,3,11,20
58,26,Yes,Non-Travel,Research & Development,1,3,Medical,Male,Manager,3,Married,12102,No,2,4,11
59,44,No,Non-Travel,Research & Development,12,2,Medical,Male,Research Scientist,4,Divorced,10431,Yes,3,6,12
60,30,No,Travel_Rarely,Research & Development,13,3,Medical,Male,Manager,1,Divorced,12000,No,3,0,8
61,29,No,Travel_Rarely,Research & Development,2,1,Technical Degree,Male,Manager,3,Married,12000,Yes,3,5,7
62,52,No,Non-Travel,Research & Development,2,4,Marketing,Female,Healthcare Representative,4,Single,10875,No,4,3,3
63,31,No,Travel_Frequently,Research & Development,7,3,Marketing,Male,Laboratory Technician,1,Divorced,7503,No,3,4,9
64,28,Yes,Travel_Frequently,Sales,18,5,Life Sciences,Male,Sales Representative,2,Divorced,7568,Yes,3,3,9
65,35,No,Non-Travel,Research & Development,4,4,Medical,Male,Research Director,2,Divorced,17000,No,3,6,12
66,22,No,Travel_Rarely,Research & Development,5,4,Marketing,Male,Laboratory Technician,3,Married,3986,No,3,1,15
67,33,Yes,Non-Travel,Research & Development,5,1,Human Resources,Male,Healthcare Representative,4,Married,7207,Yes,3,38,52
68,41,Yes,Non-Travel,Research & Development,6,1,Medical,Male,Research Scientist,4,Single,14109,Yes,3,0,10
69,38,No,Travel_Frequently,Research & Development,3,2,Technical Degree,Male,Manager,2,Married,12000,No,3,2,7
70,25,No,Travel_Rarely,Research & Development,8,3,Marketing,Female,Healthcare Representative,2,Married,1653,No,2,6,13
71,24,No,Travel_Rarely,Sales,15,4,Marketing,Male,Sales Representative,4,Married,2807,No,2,35,49
72,34,No,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,Manufacturing Director,3,Divorced,4485,No,4,3,8
73,18,Yes,Travel_Frequently,Research & Development,1,3,Marketing,Male,Research Director,1,Married,17000,No,3,6,19
74,30,No,Travel_Frequently,Sales,1,3,Marketing,Male,Manager,2,Single,12000,Yes,3,6,12
75,36,No,Non-Travel,Research & Development,20,3,Marketing,Female,Research Scientist,2,Single,2952,No,3,35,36
76,23,Yes,Travel_Frequently,Research & Development,2,3,Medical,Male,Research Scientist,1,Divorced,1930,No,3,1,4
77,31,No,Non-Travel,Research & Development,5,3,Life Sciences,Male,Research Director,3,Divorced,17000,No,3,2,3
78,27,Yes,Travel_Frequently,Research & Development,3,3,Other,Male,Laboratory Technician,4,Divorced,6230,No,4,0,10
79,40,Yes,Travel_Rarely,Research & Development,19,3,Medical,Female,Research Director,4,Married,17000,Yes,2,0,0
